Time,Cpu_Utilization,Memory_Footprint,Cpu_Util_NOSGX,Mem_F_NOSGX,Power_Time,Power_Consumption
1,0,255860,0,298412,0,0.325
2,0.5,266988,0,298424,10,4.28
3,1.99,305592,4.75,429492,20,3.64
4,2.74,309624,1,502220,30,1.06
5,3.73,324992,0.5,582996,40,1.98
6,2.24,348964,2.01,298148,50,3.62
7,0.75,346428,0,298148,60,0.977
8,0,411636,0,298148,70,2.56
9,0.5,485784,0,298148,80,3.32
10,0.5,557480,0,298148,90,3.75
11,0.5,627496,0,298148,100,3.51
12,0.5,694908,0,299992,110,4.19
13,0,761032,0,299732,120,3.89
14,0.5,360704,0,299156,130,4.29
15,0.25,430372,0,298960,140,4.92
16,1,499916,,,150,3.61
17,0.5,567456,,,160,4.34
18,0.5,637544,,,170,0.335
19,0.75,707052,,,180,0.601
20,0.5,778876,,,190,0.341
21,0.75,849924,,,200,0.325
22,0.75,919244,,,,
23,0.5,989096,,,,
24,0.25,1056824,,,,
25,0.25,1130424,,,,
26,0.5,1200528,,,,
27,0.5,1270068,,,,
28,0.75,1340060,,,,
29,0.75,1407724,,,,
30,0.75,1478940,,,,
31,0.25,1522612,,,,
32,0,1522612,,,,
33,0.25,329476,,,,
34,0.5,329796,,,,
35,2.49,337184,,,,
36,1,339516,,,,
37,3.52,343324,,,,
38,0.76,370072,,,,
39,0.75,442168,,,,
40,0.75,511964,,,,
41,0.5,581664,,,,
42,0.75,651548,,,,
43,0.5,723140,,,,
44,0.25,789292,,,,
45,0,375480,,,,
46,0.5,445024,,,,
47,1,515072,,,,
48,1.24,596440,,,,
49,0.25,665908,,,,
50,0.25,735452,,,,
51,0.5,805012,,,,
52,0.25,875060,,,,
53,0.5,944596,,,,
54,2.45,1026552,,,,
55,2.23,1078744,,,,
56,0,1148288,,,,
57,0.5,1218336,,,,
58,0.07,1286976,,,,
59,0.25,1358716,,,,
60,0,1365332,,,,
61,0.5,346800,,,,
62,0.25,347664,,,,
63,1,400776,,,,
64,0.25,416904,,,,
65,4.51,374204,,,,
66,8.31,371280,,,,
67,0.5,263976,,,,
68,13.61,274620,,,,
69,15.92,278204,,,,
70,16.17,281088,,,,
71,16.87,283216,,,,
72,34.15,285440,,,,
73,48.66,297672,,,,
74,49.02,309056,,,,
75,49.14,321128,,,,
76,49.26,333316,,,,
77,48.9,345780,,,,
78,48.9,358508,,,,
79,48.78,371184,,,,
80,48.78,383552,,,,
81,49.26,396036,,,,
82,48.05,407756,,,,
83,48.66,420124,,,,
84,23.7,411484,,,,
85,2,411620,,,,
86,6.22,425120,,,,
87,15.96,430356,,,,
88,15.5,434052,,,,
89,15,437664,,,,
90,26,436116,,,,
91,46.78,448072,,,,
92,49.26,460272,,,,
93,49.75,472948,,,,
94,50.5,481384,,,,
95,50.37,494396,,,,
96,49.76,506912,,,,
97,49.04,519624,,,,
98,50.36,531144,,,,
99,50.87,544256,,,,
100,47.93,409932,,,,
101,8.31,408808,,,,
102,0.51,409624,,,,
103,0.51,409360,,,,
104,1,410084,,,,
105,0.51,410024,,,,
106,0.5,410288,,,,
107,0.75,410152,,,,
108,10.58,409856,,,,
109,10.15,410108,,,,
110,5.49,410360,,,,
111,0.5,410536,,,,
112,0.51,410696,,,,
113,0.07,410976,,,,
114,1.26,410816,,,,
115,0.25,411000,,,,
116,0.04,410992,,,,
117,0.75,411164,,,,
118,0.76,411308,,,,
119,1.27,411740,,,,
120,0.51,411628,,,,
121,0.25,411680,,,,
122,0.75,411676,,,,
123,0.25,411824,,,,
124,0.51,411812,,,,
125,0.51,412036,,,,
126,0.75,412208,,,,
127,5.53,412388,,,,
128,12.35,412532,,,,
129,12.16,413036,,,,
130,12.5,413288,,,,
131,11.75,413540,,,,
132,12,413792,,,,
133,10.55,414288,,,,
134,10.92,415576,,,,
135,11.5,415456,,,,
136,0.61,415660,,,,
137,1.73,417020,,,,
138,1,417260,,,,
139,0.51,416964,,,,
140,2.23,416988,,,,
141,0.75,417320,,,,
142,1.5,417520,,,,
143,8.44,432608,,,,
144,14.71,438656,,,,
145,15.88,440588,,,,
146,16.04,443724,,,,
147,25.5,441952,,,,
148,45.71,452532,,,,
149,49.38,464768,,,,
150,48.65,476952,,,,
151,49.14,488556,,,,
152,49.63,500888,,,,
153,49.14,512728,,,,
154,49.14,525644,,,,
155,52.32,533836,,,,
156,50.74,545548,,,,
157,50.12,457376,,,,
158,14.21,416772,,,,
159,0.75,417192,,,,
160,0.75,416228,,,,
161,13.72,416476,,,,
162,48.24,420524,,,,
163,51.12,420608,,,,
164,43.21,421016,,,,
165,22.25,253368,,,,
166,2.01,251784,,,,
167,0,251896,,,,
168,0,251988,,,,
169,0,251984,,,,
170,0,251984,,,,
171,0,251984,,,,
172,0,251984,,,,
173,0,251984,,,,
174,0.51,252104,,,,
175,0,252104,,,,
176,0,252104,,,,
177,0,252104,,,,
178,0,252076,,,,
179,1,251908,,,,
180,0,251908,,,,
181,0,251920,,,,
182,0,251920,,,,
183,0,251920,,,,
184,0,251920,,,,
185,0,251920,,,,
186,0,251920,,,,
187,0,251920,,,,
188,0,251888,,,,
189,0,251888,,,,
190,0,251888,,,,
191,0,251888,,,,
192,0,251876,,,,
193,0,251876,,,,
194,0,253144,,,,
195,0,253136,,,,
196,0.25,253128,,,,
197,0,253128,,,,
198,0,253128,,,,
199,0,253128,,,,
200,0,252932,,,,
